a,工
ak,或
akg,或
akgd,或
adw,其
adwu,其
awx,花
awxb,花
adk,若
afs,某
afsu,某
adkf,若
aqi,区
aq,区
amw,黄
aad,式
aa,式
amwu,黄
aw,共
awu,共
aii,东
alw,苏
ag,七
aesu,菜
aes,菜
ae,菜
alwu,苏
agn,七
ai,东
ajtl,蓝
ajt,蓝
adwr,斯
ajd,莫
ajdu,莫
aws,茶
awsu,茶
avn,切
adwe,期
av,切
ajj,草
ax,药
axq,药
axqy,药
amd,英
amdu,英
aitk,落
avij,萧
avi,萧
afln,勒
afl,勒
adf,苦
abj,节
ab,节
ait,落
ahty,雅
ahn,臣
ahnh,臣
admy,项
aaa,工
adm,项
adnt,藏
ad,基
aqq,欧
aibb,范
an,世
anv,世
aqqw,欧
aqt,获
aqtd,获
adwf,基
afff,鞋
aft,著
aib,范
aftj,著
auq,蒋
aqu,艾
auqf,蒋
adj,菲
adjd,菲
al,功
aln,功
apge,蒙
ah,牙
aht,牙
aet,散
aety,散
atg,董
ahte,牙
atgf,董
apg,蒙
apsu,荣
auko,燕
aps,荣
apkk,营
apk,营
au,燕
awf,蔡
awfi,蔡
at,攻
aty,攻
afd,甘
adwn,甚
and,巨
anb,艺
atdi,医
abut,萨
abu,萨
alp,莲
aqk,敬
atd,医
aqkt,敬
alpu,莲
agnn,巧
ahtb,邪
ayb,芳
ay,芳
aigf,薄
aak,戒
aig,薄
ahko,熙
alf,苗
awnu,薛
ajdn,慕
aj,划
aeui,藤
aeu,藤
adkn,惹
ajh,划
ajdf,墓
aqbb,苑
atm,薇
ago,莱
atr,莪
atrt,莪
atmt,薇
agou,莱
aqb,苑
atjj,莉
anu,芯
atj,莉
awsk,荷
agnt,戈
abio,蒸
abi,蒸
ajq,葛
ajqn,葛
aqo,菊
aqou,菊
aqrn,葱
apl,劳
akgl,勤
ajef,萌
aje,萌
aplb,劳
aup,蒂
auph,蒂
aqky,警
ani,忒
amyn,恐
aflf,蕾
aigh,萍
ajdh,幕
awvb,芬
awv,芬
adn,茂
adnt,茂
ap,芝
apu,芝
aiit,莎
awb,苍
awbb,苍
afcu,芸
awnb,巷
awn,巷
apgy,莹
avkf,茹
avk,茹
aynq,荒
adjd,匪
agq,葬
agqa,葬
apw,蓉
apwk,蓉
aww,巫
apgg,萱
awwi,巫
annn,蕊
afi,蒜
afii,蒜
ajdj,暮
adww,欺
ann,蕊
afw,鞭
ald,茵
auqw,茨
atgq,尧
aldu,茵
afwq,鞭
afwu,芙
atdp,蓬
ahnh,卧
ainr,荡
ain,荡
aigy,蒲
atgn,翘
aqkf,茗
afj,革
af,革
altu,菌
alt,菌
ahf,芷
afwt,菱
aqv,匹
asf,茜
am,贡
amu,贡
aga,荆
agaj,荆
adiy,藕
awnb,孽
aynb,芒
ayn,芒
acbt,茅
alqu,萝
alq,萝
ajf,昔
anf,蔚
anff,蔚
asg,苯
asgf,苯
atgo,薰
awnu,恭
aaht,芽
aah,芽
ausr,薪
aus,薪
akgn,惑
asgo,蘸
awg,葵
awgd,葵
axj,蕴
axjl,蕴
afwx,靴
ags,茉
agsu,茉
ajl,蔓
ajlc,蔓
aca,茎
acaf,茎
adhb,荐
adh,荐
acb,芭
abe,荫
aqyg,鸢
ac,芭
abef,荫
aldn,蒽
agef,菁
afmi,贰
afm,贰
ayxl,蓄
ayx,蓄
arj,芹
awh,莜
adij,藉
adi,藉
awht,莜
aqkf,苟
amwu,芮
aitl,藩
ahkm,颐
aynr,芦
ark,匠
ar,匠
amyy,巩
amy,巩
ade,戎
agd,匡
atfj,芊
atf,芊
aju,茧
agjn,蕙
agj,蕙
afrh,靳
afr,靳
afqo,鞠
afq,鞠
adhf,茬
adaj,莽
ada,莽
ackf,苔
ack,苔
apfq,莞
abib,菡
apqg,莺
apq,莺
awuk,蓓
avdf,菇
avd,菇
aqg,葡
aqgy,葡
afc,靶
agu,苹
aguh,苹
ahtg,鸦
afcn,靶
aik,藻
afqb,芜
aiks,藻
aplj,荤
apxi,萦
apx,萦
alkf,茄
aghg,廿
agh,廿
afuk,蔷
afu,蔷
adfi,萘
aywf,萃
ayw,萃
aumt,蔽
aum,蔽
aqmc,殴
aqm,殴
aqkr,擎
apju,萤
apj,萤
alk,匣
ajdl,募
alfj,薯
aiu,汞
afnh,苇
afn,苇
aqj,荀
aqjf,荀
aqqg,鸥
atdn,翳
awyo,蕉
auj,莘
awyc,苓
agfj,芋
awy,蕉
agf,芋
aiyn,茫
aiy,茫
agny,弋
adwl,勘
atvf,萎
atv,萎
afpv,鞍
afp,鞍
awtu,荼
awt,荼
awks,葆
awk,葆
alll,荔
all,荔
aaff,苷
aaf,苷
alkf,茴
atx,莓
atxu,莓
askf,苛
ask,苛
as,苛
adwf,斟
abf,茸
ayna,匾
aymk,蒿
aym,蒿
awjj,芥
awj,芥
atol,蕃
ato,蕃
aqnb,苞
aqn,苞
aqto,荻
aqgj,蓟
apou,荧
apo,荧
agho,蔫
ajqg,鹊
ajdr,摹
awgf,荃
aadk,匿
arcb,葩
arc,葩
awfc,荟
akgf,堇
ays,蘑
aysd,蘑
agxw,荑
agx,荑
afqb,芫
afie,鞘
adbb,苊
adb,苊
akkn,萼
apqb,菀
adg,葳
adgt,葳
aee,藐
aeeq,藐
anhq,蔬
anh,蔬
amff,苒
amf,苒
avkf,苕
auwy,蔺
auw,蔺
amh,匝
amhk,匝
amyu,芃
ank,薜
anku,薜
aqw,芡
aqwu,芡
adwt,蓁
aduw,蕨
adu,蕨
aya,蔗
apnn,菅
ayao,蔗
awyn,芩
